protein-name,intent-group,available,Plasmid Name,Gene or insert Name,Alternative Gene/Insert Name 1,Entrez Gene ID,Additional Species of gene or insert,Relevant Mutations,N-terminal Tag,C-terminal Tag,Backbone Name,Bacterial Resistance,Selectable Marker,high or low copy,design-description
nsp13,Mammalian expression,false,pGBW-m4133135,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133152,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133171,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133183,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133197,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133203,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133221,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133260,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133302,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133311,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133320,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133371,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133375,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133394,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133416,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133443,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133459,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133467,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133474,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133482,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133497,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133672,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133708,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133756,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133787,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133805,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133829,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133858,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133865,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133889,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133901,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133921,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133937,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4133953,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134001,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134015,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134029,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134042,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134058,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134077,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134090,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134094,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134102,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134187,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134248,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134256,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134287,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134333,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134365,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134387,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134394,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134429,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134443,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4134462,helicase,,YP_009725308.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135821,helicase,,YP_009725308.1,Homo sapiens,wt,,,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135832,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135900,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135907,helicase,,YP_009725308.1,Homo sapiens,wt,,,pTwist_CMV_Puro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135908,helicase,,YP_009725308.1,Homo sapiens,H. sapiens recode 1,,,pTwist_CMV_Hygro_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Mammalian expression,false,pGBW-m4135922,helicase,,YP_009725308.1,Homo sapiens,wt,,,pTwist_CMV_6,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
nsp13,Yeast expression,false,pGBW-m4046178,helicase,,YP_009725308.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
