intent-group,loom-design,molecule,strain,loom-name,loom-description,design/epitope,design/misc,design/misc-2,design-genome/organism,design/orf,design/epitope-protein-mutations,design/epitope-source-organism,design/orf-protein-mutations,design/orf-source-organism,design/part,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
Mammalian expression,1056,4252982,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252976,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136061,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4136067,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252992,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252978,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252991,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136080,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252986,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252979,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136048,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252969,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252971,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136057,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4136070,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252984,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136081,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252993,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252983,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136069,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136065,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4136072,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4136047,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136055,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4135860,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252974,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252987,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136046,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252977,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252989,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252985,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252988,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136074,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252994,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252973,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4136327,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252831,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4134270,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4252913,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252936,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252879,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4134393,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4136356,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252836,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252841,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4133374,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4133228,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4252822,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4134300,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4134504,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4252942,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4252876,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4133840,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4252802,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4133855,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,6xHis-003,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4252896,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4136220,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,synthetic,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1073,4133431,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4134465,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1073,4133871,,Biofab version of Mammalian encoding Covid19 orf expression with tags round 1 (1047),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,wt,synthetic,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
