intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-2,design/promoter,design/orf-protein-mutations,design/orf-source-organism,design/orf-2-protein-mutations,design/orf-2-source-organism,design/promoter-source-organism,design-genome/organism,design/backbone
Yeast expression,946,4046479,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046510,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046434,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046248,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046507,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046587,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046579,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046291,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046234,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046180,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046555,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046462,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046256,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046403,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,,,pTEF1,,,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046207,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046327,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046340,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046235,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046175,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046544,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046353,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046299,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046446,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046504,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046426,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046393,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046583,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046389,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046447,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046198,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046196,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Escherichia coli (strain K12):P0AEX9,,pGAL1,d1-26 d393-396,Escherichia coli (strain K12),,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046534,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046244,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046187,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046396,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046242,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046227,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046572,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046538,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046239,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046395,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046351,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046356,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046315,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046516,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046251,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046174,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046454,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046437,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046323,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046286,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046252,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046249,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046511,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046314,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
